body_latap_lookup,body_latap_eff,body_lat_lookup,body_lat_eff,body_ap_lookup,body_ap_eff,body_eff_lookup,body_eff_factor,head_latap_lookup,head_latap_eff,head_lat_lookup,head_lat_eff,head_ap_lookup,head_ap_eff,head_eff_lookup,head_eff_factor
16,7.7,8,9.2,8,8.8,8,2.76,12,5.7,6,8.2,6,5.8,6,1.49
18,8.7,9,9.7,9,10.2,9,2.66,13,6.2,7,8.7,7,7.3,7,1.43
20,9.7,10,10.2,10,11.6,10,2.57,14,6.7,8,9.2,8,8.8,8,1.38
22,10.7,11,10.7,11,13.0,11,2.47,15,7.2,9,9.7,9,10.2,9,1.32
24,11.7,12,11.3,12,14.4,12,2.38,16,7.7,10,10.2,10,11.6,10,1.27
26,12.7,13,11.8,13,15.7,13,2.30,17,8.2,11,10.7,11,13.0,11,1.22
28,13.7,14,12.4,14,17.0,14,2.22,18,8.7,12,11.3,12,14.4,12,1.18
30,14.7,15,13.1,15,18.3,15,2.14,19,9.2,13,11.8,13,15.7,13,1.13
32,15.7,16,13.7,16,19.6,16,2.06,20,9.7,14,12.4,14,17.0,14,1.09
34,16.7,17,14.3,17,20.8,17,1.98,21,10.2,15,13.1,15,18.3,15,1.05
36,17.6,18,15.0,18,22.0,18,1.91,22,10.7,16,13.7,16,19.6,16,1.01
38,18.6,19,15.7,19,23.2,19,1.84,23,11.2,17,14.3,17,20.8,17,0.97
40,19.6,20,16.4,20,24.3,20,1.78,24,11.7,18,15.0,18,22.0,18,0.93
42,20.6,21,17.2,21,25.5,21,1.71,25,12.2,19,15.7,19,23.2,19,0.90
44,21.6,22,17.9,22,26.6,22,1.65,26,12.7,20,16.4,20,24.3,20,0.86
46,22.6,23,18.7,23,27.6,23,1.59,27,13.2,21,17.2,21,25.5,21,0.83
48,23.6,24,19.5,24,28.7,24,1.53,28,13.7,22,17.9,22,26.6,22,0.80
50,24.6,25,20.3,25,29.7,25,1.48,29,14.2,23,18.7,23,27.6,23,0.77
52,25.6,26,21.1,26,30.7,26,1.43,30,14.7,24,19.5,24,28.7,24,0.74
54,26.6,27,22.0,27,31.6,27,1.37,31,15.2,25,20.3,25,29.7,25,0.71
56,27.6,28,22.9,28,32.6,28,1.32,32,15.7,26,21.1,26,30.7,26,0.69
58,28.6,29,23.8,29,33.5,29,1.28,33,16.2,27,22.0,27,31.6,27,0.66
60,29.6,30,24.7,30,34.4,30,1.23,34,16.7,28,22.9,28,32.6,28,0.63
62,30.5,31,25.6,31,35.2,31,1.19,35,17.2,29,23.8,29,33.5,29,0.61
64,31.5,32,26.6,32,36.0,32,1.14,36,17.6,30,24.7,30,34.4,30,0.59
66,32.5,33,27.6,33,36.8,33,1.10,37,18.1,31,25.6,31,35.2,31,0.56
68,33.5,34,28.6,34,37.6,34,1.06,38,18.6,32,26.6,32,36.0,32,0.54
70,34.5,35,29.6,35,38.4,35,1.02,39,19.1,33,27.6,33,36.8,33,0.52
72,35.5,36,30.6,36,39.1,36,0.99,40,19.6,34,28.6,34,37.6,34,0.50
74,36.5,37,31.7,37,39.8,37,0.95,42,20.6,35,29.6,35,38.4,35,0.48
76,37.5,38,32.7,38,40.4,38,0.92,44,21.6,36,30.6,36,39.1,36,0.47
78,38.5,39,33.8,39,41.1,39,0.88,46,22.6,37,31.7,37,39.8,37,0.45
80,39.5,40,34.9,40,41.7,40,0.85,48,23.6,38,32.7,38,40.4,38,0.43
82,40.5,41,36.1,41,42.3,41,0.82,50,24.6,39,33.8,39,41.1,39,0.41
84,41.5,42,37.2,42,42.8,42,0.79,52,25.6,40,34.9,40,41.7,40,0.4
86,42.4,43,38.4,43,43.4,43,0.76,54,26.6,41,36.1,41,42.3,41,0.38
88,43.4,44,39.6,44,43.9,44,0.74,56,27.6,42,37.2,42,42.8,42,0.37
90,44.4,45,40.8,45,44.4,45,0.71,58,28.6,43,38.4,43,43.4,43,0.35
,,,,,,,,60,29.6,44,39.6,44,43.9,44,0.34
,,,,,,,,62,30.5,45,40.8,45,44.4,45,0.33
,,,,,,,,64,31.5,46,42.1,46,44.8,46,0.32
,,,,,,,,66,32.5,47,43.3,47,45.2,47,0.30
,,,,,,,,68,33.5,48,44.6,48,45.6,48,0.29
,,,,,,,,70,34.5,49,45.9,49,46.0,49,0.28
,,,,,,,,72,35.5,50,47.2,50,46.4,50,0.27
,,,,,,,,74,36.5,51,48.5,51,46.7,51,0.26
,,,,,,,,76,37.5,52,49.9,52,47.0,52,0.25
,,,,,,,,78,38.5,53,51.3,53,47.2,53,0.24
,,,,,,,,80,39.5,54,52.7,54,47.5,54,0.23
,,,,,,,,82,40.5,55,54.1,55,47.7,55,0.22
